video_id,title,description,published_at,view_count,like_count,comment_count,duration
nm8y9eOXqsA,Oriana Sabatini X Adrián Bello | Escondidos| Coke Studio,"Taste Coke Studio’s new drop, a collision by Oriana Sabatini and Adrián Bello, performing Adrián song ""Escondidos"". #CokeStudio #RealMagic 

https://www.coca-cola.com/ar/es/offerings/coke-studio 

https://www.instagram.com/cocacolaar/  

https://twitter.com/CocaColaAr  

https://www.coca-cola.com/pe/es/offerings/coke-studio 

https://www.instagram.com/cocacolape/ 

https://twitter.com/CocaColaPe  

  
FOLLOW ORIANA SABATINI: 
 TikTok: https://www.tiktok.com/@orianasabatini?_t=8gFW5Ig4Tnp&_r=1 
 Instagram: https://www.instagram.com/orianasabatini/  
Twitter: https://twitter.com/orisabatini  
YouTube: https://www.youtube.com/@OrianaSabatiniOficial 
  
FOLLOW ADRIÁN BELLO 
 TikTok: https://www.tiktok.com/@_adrianbello?_t=8gFWGAJ0tTp&_r=1  
Instagram: https://www.instagram.com/_adrianbello/ 
 YouTube: https://www.youtube.com/@AdrianBello 

  
Oriana Sabatini:  Argentine actress and singer who has been gaining a lot of visibility in pop music, her latest single “Luna Llena” has more than 4 million views on Youtube. She was best known as an actress for participating in the series “Aliados”, by Cris Morena, the same creator of the phenomenon “Chiquititas”. 

  
Adrián Bello: Peruvian singer and songwriter. He was born in Lima, Peru. He is known in his country for his songs in English. Mastery of that language has allowed her to tackle pop soul with ease, bringing her music to many Spanish-speaking fans.",2023-10-20T13:11:55Z,11607,378,45,PT3M30S
9wTkUusQYg4,Coke Studio Amplified I Ep. 3 I Styling for a music video with Zoe Wees & Rim Zemuye,"Coke Studio brings together a diverse group of international artists including singer-songwriters, producers, hair and makeup artists, fashion designers and content creators in the new mini-series Coke Studio Amplified. Together, they are on a journey of creative exploration, and we get to follow along and experience the magic that emerges when creativity is given the space to thrive.   

Witness the evolution of a new interpretation of the song ""Girls Like Us"" by Zoe Wees, delivering innovative sounds, styles, and ideas. This collaboration, fuelled by the support of Coke Studio, celebrates the fusion of music and culture, bringing you closer to the heart of music and the artists behind it.    

Grab a refreshing Coca-Cola and subscribe to not miss out on the Real Magic produced by your favourite artists! The song is completed, and it is time for the next exciting step of the creative journey. The talented hairstylist, Rim Zemuye, and TikTok sensation, Brian O’Donnell, join our crew in episode 3. These creative geniuses are here to help Zoe Wees, Luz Corrigan, and Alex O'Shaughnessy unleash their unique styles and bring their new song to life in a music video. Watch the process and stay refreshed with your favourite Coca-Cola. 

©2023 The Coca-Cola Company. Coca-Cola, Coca-Cola Zero and Coke Studio are registered trademarks of The Coca-Cola Company",2023-10-12T20:23:35Z,1321,17,1,PT4M52S
wmDFgvAnkWM,"Coke Studio Amplified I Ep. 2 I Song production I Zoe Wees, Jack'O, Luz Corrigan & Alex O'Shaugnessy","Coke Studio brings together a diverse group of international artists including singer-songwriters, producers, hair and makeup artists, fashion designers and content creators in the new mini-series Coke Studio Amplified. Together, they are on a journey of creative exploration, and we get to follow along and experience the magic that emerges when creativity is given the space to thrive.  

Witness the evolution of a new interpretation of the song ""Girls Like Us"" by Zoe Wees, delivering innovative sounds, styles, and ideas. This collaboration, fuelled by the support of Coke Studio, celebrates the fusion of music and culture, bringing you closer to the heart of music and the artists behind it.    

Grab a refreshing Coca-Cola and subscribe to not miss out on the Real Magic produced by your favourite artists! The lyrics are set and the beat is on. In episode 2, producer Jack-O joins the team, heats up the vibe and brings together the lyrics and vocal magic of Zoe Wees, Luz Corrigan, and Alex O’Shaughnessy. Will the spice he adds result in an emotional ballad or an upbeat disco-pop song?  Get your headphones on, grab an uplifting Coca-Cola and find out! 

©2023 The Coca-Cola Company. Coca-Cola, Coca-Cola Zero and Coke Studio are registered trademarks of The Coca-Cola Company.",2023-10-05T13:42:31Z,2217,26,2,PT6M49S
YHrHm_XJhdU,Jão X Danna Paola | IDIOTA| Coke Studio,"Taste Coke Studio’s new drop, a collision by Jão and Danna Paola, performing Jão’s song ""IDIOTA"". #CokeStudio #RealMagic 

https://www.coca-cola.com/mx/es/offer... 
https://twitter.com/CocaColaMx 
https://www.instagram.com/cocacolamx/ 

https://www.instagram.com/cocacola_br/ 
https://www.coca-cola.com/br/pt/offer... 
https://twitter.com/CocaCola_Br 

 
FOLLOW DANNA PAOLA 
TikTok: https://www.tiktok.com/@dannapaola 
Instagram: https://www.instagram.com/dannapaola/ 
Twitter: https://twitter.com/dannapaola 
YouTube:   https://www.youtube.com/@DannaPaolaofficial 
 
 
FOLLOW JÃO 
TikTok: https://www.tiktok.com/@jao 
Instagram: https://www.instagram.com/jao/ 
Twitter: https://twitter.com/jaoromania 
YouTube:   https://www.youtube.com/@JAO 

Jão, a certified multiplatinum artist and two-time GRAMMY® Latino nominee, is arguably one of the greatest and most complete Brazilian singers today, dabbling in different genres and pleasing a multitude of fans. Jão has recorded four studio albums – ‘Lobo’, ‘Anti-Herói’, ‘Pirata’ and the latest, ‘Super’ – which has been released to great critic and public acclaim – as well as one live album, and countless singles and features. The Coke Studio™ collision comes after a memorable performance on the music festival The Town. 

Danna Paola is a multimedia and multiplatinum artist – a singer and actress; she began her career as an actress at the age of 4, and she grew to become one of Mexico’s biggest popstars, writing songs that have become anthems to the new generation of Mexican women. She has released six studio albums – ‘Mi Globo Azul’, ‘Oceano’, ‘Chiquita Pero Picosa’, ‘Danna Paola’, ‘Sie7e+’, and ‘K.O.’. Her latest album got her a GRAMMY® Latino nomination for ‘Best Pop Vocal Album’.",2023-10-02T22:32:20Z,5580141,36703,1450,PT3M28S
0BpYGlkgZ_M,Coke Studio | Norway | Secret Sessions | Episode 3,"Lyst til å få med deg Oslos råeste konsert? Coke Studio Secret Sessions™ byr på noen av Norges fremste musikktalenter, og avholdes på en hemmelig lokasjon i Oslo 🔥🎶  

I denne episoden kan du sammen med vår ambassadør, Stian Blipp, bli bedre kjent med et av stjerneskuddene som skal opptre – Makosir ✨  
 
Last ned Coca-Cola appen for å vinne billetter: https://stories.onelink.me/YCoa/shp5z26x   

Hør mer av Makosir sin musikk her: https://open.spotify.com/artist/0G7lEqLdSyAiUGMB1P9nsh?si=dm4zvDYNTUmDD9uzwvqkDQ",2023-09-29T11:43:57Z,2837,21,0,PT9M9S
BpL2paMM73g,"Coke Studio Amplified I Ep. 1 I Creating a new song with Zoe Wees, Luz Corrigan & Alex O'Shaugnessy","#CokeStudio brings together a diverse group of international artists including singer-songwriters, producers, hair and makeup artists, fashion designers and content creators in the new mini-series Coke Studio Amplified. 

Together, they are on a journey of creative exploration, and we get to follow along and experience the magic that emerges when creativity is given the space to thrive.   

Witness the evolution of a new interpretation of the song ""Girls Like Us"" by Zoe Wees, delivering innovative sounds, styles, and ideas. This collaboration, fuelled by the support of Coke Studio, celebrates the fusion of music and culture, bringing you closer to the heart of music and the artists behind it.    

Grab a refreshing Coca-Cola and subscribe to not miss out on the Real Magic produced by your favourite artists! Get ready to vibe with the debut episode of the new mini-series Coke Studio Amplified! Zoe Wees teams up with the emerging singer-songwriters Luz Corrigan and Alex O'Shaughnessy to interpret Zoe's hit ""Girls like us"". Grab a Coca-Cola and watch the first episode where the artists create musical magic right in front of your eyes. 

©2023 The Coca-Cola Company. Coca-Cola, Coca-Cola Zero and Coke Studio are registered trademarks of The Coca-Cola Company.",2023-09-28T14:38:58Z,1894,28,6,PT6M22S
yS5ZJB7wllg,"ოჩოს ქოხი X ქართული ხალხური ანსამბლი ""ჭონა"" X თამთა ჩიხლაძე | გემრიელი | Coke Studio","მოუსმინე Coke Studio-ს შემდეგ ჰიტს და გაიხალისე შემოდგომის დღეები 🍁

ოჩოს ქოხი X ქართული ხალხური ანსამბლი ""ჭონა"" X თამთა ჩიხლაძე, სიმღერით ""გემრიელი"" 🍭",2023-09-18T14:02:04Z,872677,208,17,PT3M53S
W8XAVUR-udw,"ოჩოს ქოხი X ქართული ხალხური ანსამბლი ""ჭონა"" X თამთა ჩიხლაძე | გემრიელი | Coke Studio","მომდევნო გემრიელი ჰიტის დროც დგება 🎼 სიმღერის სრული ვერსია მალე, ჩვენს არხზე 👀
მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-09-18T07:00:30Z,158548,21,1,PT22S
q9VwhkdsyRQ,ანანო სიხარულიძე X JustQuartet | RocknRolla | Coke Studio,"Coke Studio-სთვის შექმნილი კიდევ ერთი მხიარული ჰიტი “RocknRolla”🎻 მოისმინე და დატკბი ზაფხულის ბოლო დღეებით 🌞

🎼 მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-09-15T09:21:54Z,190437,13,1,PT26S
tBAHRSBo-w4,ძაბვა X ალექსანდრე სანიკიძე | ჩვენი შეხვედრის დროც დადგა | Coke Studio,"მოუსმინე Coke Studio-ს შემდეგ ჰიტს 🎼 და ხელახლა შეიგრძენი ყველაზე თბილი სეზონის დაუვიწყარი მომენტები 🌞
 
🎼 მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-09-08T16:32:57Z,541849,155,19,PT3M14S
